Asset,Type,Name,Status,Severity,Su ΔT (°C),Hava ΔT (°C),Target ΔT (°C),ΔT Dev (°C),Band,SAT Status,Recommended SAT (°C),Score,Action,Reason,Valve Δ%,Rule,DT Source,Approach_Supply (°C),Approach_Return (°C),Plant Supply (°C),Plant Return (°C),OAT (°C)
AHU:AHU-9,AHU,AHU-9,IN_BAND,CRITICAL,6.00,1.00,5.00,,±3.0,NOT_COOLING,16.5,9.0,KRİTİK: Soğutmuyor,Üfleme (22.0°C) > 18.0°C. Vana veya chiller kontrolü gerekli.,,NOT_COOLING,Inlet/Outlet (Water),+3.00,+10.00,19.0,13.0,20.0
AHU:AHU-22,AHU,AHU-22,IN_BAND,CRITICAL,10.00,8.00,10.00,,±1.0,NOT_HEATING,29.5,9.0,KRİTİK: Isıtmıyor,Üfleme (15.0°C) < 28.0°C. Vana veya kazan kontrolü gerekli.,,NOT_HEATING,Inlet/Outlet (Water),+35.00,+37.00,19.0,13.0,20.0
AHU:AHU-23,AHU,AHU-23,IN_BAND,CRITICAL,10.00,6.00,10.00,,±1.0,NOT_HEATING,29.5,9.0,KRİTİK: Isıtmıyor,Üfleme (15.0°C) < 28.0°C. Vana veya kazan kontrolü gerekli.,,NOT_HEATING,Inlet/Outlet (Water),+35.00,+39.00,19.0,13.0,20.0
AHU:AHU-24,AHU,AHU-24,IN_BAND,CRITICAL,10.00,0.00,10.00,,±3.0,NOT_HEATING,29.5,9.0,KRİTİK: Isıtma Etkisi Düşük (Üfleme Soğuk),Heat valve yüksek (%100) ama üfleme 23.0°C (<28°C). Setpoint zinciri: AHU SAT setpoint ↑ → Kolektör/Transfer gidiş seti ↑ → Kazan seti ↑.,,HEAT_EFF_LOW,Inlet/Outlet (Water),+27.00,+37.00,19.0,13.0,20.0
AHU:AHU-1,AHU,AHU-1,IN_BAND,CRITICAL,10.00,4.00,10.00,,±3.0,NOT_HEATING,29.5,9.0,KRİTİK: Isıtma Etkisi Düşük (Üfleme Soğuk),Heat valve yüksek (%100) ama üfleme 20.0°C (<28°C). Setpoint zinciri: AHU SAT setpoint ↑ → Kolektör/Transfer gidiş seti ↑ → Kazan seti ↑.,,HEAT_EFF_LOW,Inlet/Outlet (Water),+30.00,+36.00,19.0,13.0,20.0
AHU:AHU-3,AHU,AHU-3,IN_BAND,CRITICAL,10.00,1.00,10.00,,±3.0,NOT_HEATING,29.5,9.0,KRİTİK: Isıtmıyor,Üfleme (24.0°C) < 28.0°C. Vana veya kazan kontrolü gerekli.,,NOT_HEATING,Inlet/Outlet (Water),+26.00,+37.00,19.0,13.0,20.0
AHU:AHU-4,AHU,AHU-4,IN_BAND,CRITICAL,10.00,0.00,10.00,,±3.0,NOT_HEATING,29.5,9.0,KRİTİK: Isıtmıyor,Üfleme (22.0°C) < 28.0°C. Vana veya kazan kontrolü gerekli.,,NOT_HEATING,Inlet/Outlet (Water),+28.00,+38.00,19.0,13.0,20.0
AHU:AHU-6,AHU,AHU-6,IN_BAND,CRITICAL,10.00,2.00,10.00,,±3.0,NOT_HEATING,29.5,9.0,KRİTİK: Isıtmıyor,Üfleme (23.0°C) < 28.0°C. Vana veya kazan kontrolü gerekli.,,NOT_HEATING,Inlet/Outlet (Water),+27.00,+35.00,19.0,13.0,20.0
AHU:AHU-13,AHU,AHU-13,IN_BAND,CRITICAL,10.00,6.00,10.00,,±3.0,NOT_HEATING,29.5,9.0,KRİTİK: Isıtmıyor,Üfleme (18.0°C) < 28.0°C. Vana veya kazan kontrolü gerekli.,,NOT_HEATING,Inlet/Outlet (Water),+32.00,+36.00,19.0,13.0,20.0
kollektor:sogutma kollektor,kollektor,sogutma kollektor,HIGH,WARNING,6.00,,3.00,+3.00,±1.0,NO DATA,,9.0,ΔT Hedef Üstünde - Akış Artır,ΔT (6.0°C) > Hedef (3.0°C),,BAND_HIGH,Inlet/Outlet (Water),,,19.0,13.0,20.0
